original_batch,method,density,detection_ratio,Distance,Number_of_obs,73,70,52,59,16,17,18,19,20,21,target1,target2,target3
b9_s13_41,41,1.11111111111,0.4,9,10,X,X,V,V,V,X,X,X,X,V,X,O,O
b9_s10_41,41,1.11111111111,0.6,9,10,V,X,X,X,V,V,V,X,V,V,X,O,O
b9_s1_41,41,1.11111111111,0.6,9,10,X,V,V,X,V,X,V,X,V,V,V,O,O
b9_s8_41,41,1.11111111111,0.8,9,10,X,V,V,V,V,V,V,X,V,V,V,O,O
b9_s5_41,41,1.11111111111,0.2,9,10,X,X,V,X,X,X,X,X,X,V,X,O,O
b9_s6_41,41,1.11111111111,0.5,9,10,V,X,X,X,V,V,V,X,V,X,V,O,O
b9_s12_41,41,1.11111111111,0.5,9,10,X,X,V,X,X,V,V,X,V,V,X,O,O
b9_s11_41,41,1.11111111111,0.6,9,10,X,X,V,V,V,X,V,X,V,V,X,O,O
b9_s7_41,41,1.11111111111,0.6,9,10,X,V,V,V,V,X,X,V,V,X,X,O,O
b9_s2_41,41,1.11111111111,0.9,9,10,V,V,V,X,V,V,V,V,V,V,X,O,O
b9_s0_41,41,1.11111111111,0.5,9,10,X,X,V,V,V,X,V,X,V,X,V,O,O
b9_s9_41,41,1.11111111111,0.8,9,10,V,V,V,X,V,V,V,X,V,V,V,O,O
b9_s15_41,41,1.11111111111,0.8,9,10,V,V,V,X,V,X,V,V,V,V,V,O,O
b9_s3_41,41,1.11111111111,0.7,9,10,V,V,X,X,V,X,V,V,V,V,V,O,O
b9_s4_41,41,1.11111111111,0.4,9,10,X,X,V,X,V,X,X,X,V,V,V,O,O
b9_s5_11,11,1.11111111111,0.4,9,10,X,X,X,X,V,X,V,V,V,X,V,O,O
b9_s2_11,11,1.11111111111,0.4,9,10,X,X,V,V,X,X,X,V,V,X,X,O,O
b9_s0_11,11,1.11111111111,0.5,9,10,X,X,V,V,V,X,V,X,V,X,X,O,O
b9_s8_11,11,1.11111111111,0.9,9,10,V,V,V,V,V,X,V,V,V,V,V,O,O
b9_s7_11,11,1.11111111111,0.9,9,10,V,V,V,V,V,V,V,X,V,V,X,O,O
b9_s6_11,11,1.11111111111,0.4,9,10,X,V,V,X,V,X,X,X,V,X,X,O,O
b9_s12_11,11,1.11111111111,0.7,9,10,X,V,V,V,V,X,X,V,V,V,X,O,O
b9_s15_11,11,1.11111111111,0.6,9,10,V,X,V,V,V,V,X,X,V,X,V,O,O
b9_s13_11,11,1.11111111111,0.7,9,10,V,X,V,V,V,X,V,X,V,V,V,O,O
b9_s11_11,11,1.11111111111,0.6,9,10,V,X,V,X,V,X,V,X,V,V,X,O,O
b9_s10_11,11,1.11111111111,0.7,9,10,V,V,V,V,V,X,X,X,V,V,X,O,O
b9_s9_11,11,1.11111111111,0.6,9,10,X,X,V,X,V,X,V,V,V,V,X,O,O
b9_s4_11,11,1.11111111111,0.6,9,10,X,X,V,V,X,V,V,X,V,V,X,O,O
b9_s3_11,11,1.11111111111,0.4,9,10,X,X,V,V,V,X,X,X,V,X,X,O,O
b9_s1_11,11,1.11111111111,0.7,9,10,X,V,V,V,V,V,V,X,X,V,V,O,O
b9_s14_11,11,1.11111111111,0.6,9,10,X,X,V,X,V,V,V,V,V,X,X,O,O
b9_s7_44,44,1.11111111111,0.4,9,10,X,X,X,V,X,V,V,X,V,X,V,O,O
b9_s4_44,44,1.11111111111,0.5,9,10,X,X,V,X,V,X,X,V,V,V,V,O,O
b9_s11_44,44,1.11111111111,0.8,9,10,V,X,V,V,V,X,V,V,V,V,X,O,O
b9_s12_44,44,1.11111111111,0.6,9,10,V,X,V,V,V,X,X,V,V,X,X,O,O
b9_s10_44,44,1.11111111111,0.3,9,10,X,X,V,X,X,X,X,V,X,V,X,O,O
b9_s1_44,44,1.11111111111,0.8,9,10,V,V,V,X,V,V,V,V,V,X,V,O,O
b9_s14_44,44,1.11111111111,0.3,9,10,X,X,V,V,V,X,X,X,X,X,X,O,O
b9_s8_44,44,1.11111111111,0.6,9,10,V,X,V,X,V,X,X,V,V,V,X,O,O
b9_s3_44,44,1.11111111111,0.7,9,10,V,V,X,V,V,V,V,X,X,V,V,O,O
b9_s13_44,44,1.11111111111,0.5,9,10,V,X,V,V,X,X,V,X,V,X,X,O,O
b9_s15_44,44,1.11111111111,0.5,9,10,X,X,V,X,V,X,X,V,V,V,V,O,O
b9_s9_44,44,1.11111111111,0.2,9,10,X,V,V,X,X,X,X,X,X,X,V,O,O
b9_s2_44,44,1.11111111111,0.6,9,10,X,V,V,V,X,V,X,V,V,X,V,O,O
b9_s0_44,44,1.11111111111,0.5,9,10,V,V,X,X,X,V,V,X,V,X,V,O,O
b9_s5_44,44,1.11111111111,0.5,9,10,X,V,V,X,X,V,V,V,X,X,V,O,O
b9_s6_44,44,1.11111111111,0.5,9,10,X,V,V,X,V,X,X,V,X,V,V,O,O
b9_s7_14,14,1.11111111111,0.7,9,10,V,V,V,V,V,V,X,V,X,X,X,O,O
b9_s0_14,14,1.11111111111,0.8,9,10,V,X,V,V,V,X,V,V,V,V,X,O,O
b9_s2_14,14,1.11111111111,0.6,9,10,X,X,V,V,X,V,V,V,V,X,V,O,O
b9_s10_14,14,1.11111111111,0.4,9,10,X,X,V,X,V,X,V,X,V,X,V,O,O
b9_s14_14,14,1.11111111111,0.6,9,10,X,V,V,V,V,X,X,V,V,X,X,O,O
b9_s8_14,14,1.11111111111,0.6,9,10,X,X,V,V,V,X,V,V,V,X,X,O,O
b9_s1_14,14,1.11111111111,0.7,9,10,V,X,V,X,V,V,V,V,V,X,V,O,O
b9_s15_14,14,1.11111111111,0.4,9,10,X,V,V,V,X,X,X,X,V,X,V,O,O
b9_s5_14,14,1.11111111111,0.8,9,10,V,V,V,X,V,X,V,V,V,V,X,O,O
b9_s11_14,14,1.11111111111,0.6,9,10,X,V,X,X,V,V,X,V,V,V,V,O,O
b9_s4_14,14,1.11111111111,0.6,9,10,V,X,V,X,X,V,V,X,V,V,X,O,O
b9_s9_14,14,1.11111111111,0.4,9,10,X,X,V,V,X,V,V,X,X,X,X,O,O
b9_s3_14,14,1.11111111111,0.9,9,10,V,V,V,V,V,V,V,X,V,V,V,O,O
b9_s6_14,14,1.11111111111,0.6,9,10,V,V,X,V,V,X,V,X,V,X,V,O,O
b9_s13_14,14,1.11111111111,0.8,9,10,X,V,V,V,V,V,V,X,V,V,X,O,O
b9_s12_14,14,1.11111111111,0.8,9,10,V,V,V,V,V,V,X,X,V,V,X,O,O
b10_s6_41,41,1.0,0.333333333333,9,9,X,V,V,,X,X,X,X,V,X,V,O,O
b10_s4_41,41,1.0,0.333333333333,9,9,X,X,X,V,X,,X,X,V,V,V,O,O
b10_s5_41,41,1.0,0.222222222222,9,9,X,V,X,V,X,X,X,X,,X,X,O,O
b10_s15_41,41,1.0,0.666666666667,9,9,V,X,V,X,V,X,,V,V,V,V,O,O
b10_s2_41,41,1.0,0.444444444444,9,9,X,V,V,V,,X,X,V,X,X,X,O,O
b10_s14_41,41,1.0,0.333333333333,9,9,V,X,X,X,V,X,X,X,V,,X,O,O
b10_s1_41,41,1.0,0.444444444444,9,9,,X,V,V,V,X,X,X,V,X,V,O,O
b10_s11_41,41,1.0,0.444444444444,9,9,X,X,X,,V,V,V,V,X,X,X,O,O
b10_s7_41,41,1.0,0.666666666667,9,9,V,X,V,X,V,,V,X,V,V,V,O,O
b10_s13_41,41,1.0,0.333333333333,9,9,X,X,V,X,V,X,X,X,V,,V,O,O
b10_s9_41,41,1.0,0.222222222222,9,9,X,,X,V,X,X,X,X,V,X,X,O,O
b10_s3_41,41,1.0,0.333333333333,9,9,X,V,V,X,V,X,X,,X,X,V,O,O
b10_s10_41,41,1.0,0.555555555556,9,9,V,V,V,V,,X,X,X,V,X,V,O,O
b10_s7_11,11,1.0,0.777777777778,9,9,V,X,V,V,V,,X,V,V,V,X,O,O
b10_s15_11,11,1.0,0.777777777778,9,9,V,V,V,X,V,,X,V,V,V,X,O,O
b10_s12_11,11,1.0,0.0,9,9,X,X,X,X,X,X,,X,X,X,V,O,O
b10_s13_11,11,1.0,0.555555555556,9,9,V,V,V,,V,X,X,X,X,V,X,O,O
b10_s6_11,11,1.0,0.666666666667,9,9,X,X,V,V,V,X,V,V,V,,X,O,O
b10_s8_11,11,1.0,0.888888888889,9,9,V,V,V,V,V,X,,V,V,V,X,O,O
b10_s1_11,11,1.0,0.333333333333,9,9,X,,V,X,V,X,V,X,X,X,X,O,O
b10_s10_11,11,1.0,0.777777777778,9,9,V,V,V,V,V,V,X,X,,V,X,O,O
b10_s2_11,11,1.0,0.888888888889,9,9,V,V,V,,V,V,V,V,V,X,X,O,O
b10_s14_11,11,1.0,0.888888888889,9,9,V,V,,V,V,V,V,V,X,V,V,O,O
b10_s4_11,11,1.0,0.444444444444,9,9,X,X,V,V,X,X,V,X,,V,X,O,O
b10_s5_11,11,1.0,0.777777777778,9,9,V,V,V,V,V,X,,X,V,V,X,O,O
b10_s3_11,11,1.0,0.777777777778,9,9,V,V,V,V,V,X,V,V,,X,X,O,O
b10_s9_11,11,1.0,0.222222222222,9,9,X,X,X,V,V,,X,X,X,X,X,O,O
b10_s14_44,44,1.0,0.666666666667,9,9,X,V,V,,V,X,X,V,V,V,V,O,O
b10_s6_44,44,1.0,0.555555555556,9,9,V,V,X,V,X,,V,X,V,X,X,O,O
b10_s10_44,44,1.0,0.555555555556,9,9,X,V,V,V,V,X,X,,X,V,V,O,O
b10_s2_44,44,1.0,0.555555555556,9,9,X,V,V,V,V,V,X,X,,X,X,O,O
b10_s13_44,44,1.0,0.222222222222,9,9,V,X,X,V,X,X,X,X,,X,X,O,O
b10_s12_44,44,1.0,0.333333333333,9,9,X,X,V,V,V,X,X,X,,X,V,O,O
b10_s9_44,44,1.0,0.666666666667,9,9,X,V,V,V,V,V,,V,X,X,X,O,O
b10_s1_44,44,1.0,0.777777777778,9,9,X,V,V,V,V,V,X,V,,V,X,O,O
b10_s11_44,44,1.0,0.666666666667,9,9,V,X,X,X,V,V,V,,V,V,V,O,O
b10_s5_44,44,1.0,0.333333333333,9,9,X,V,V,X,V,X,X,,X,X,V,O,O
b10_s4_44,44,1.0,0.555555555556,9,9,V,X,V,X,V,V,,X,X,V,V,O,O
b10_s8_44,44,1.0,0.777777777778,9,9,V,X,V,X,V,,V,V,V,V,V,O,O
b10_s3_44,44,1.0,0.444444444444,9,9,X,X,V,X,V,V,,X,X,V,V,O,O
b10_s7_44,44,1.0,0.777777777778,9,9,V,V,V,V,V,V,X,X,,V,V,O,O
b10_s1_14,14,1.0,0.777777777778,9,9,V,V,,V,V,X,V,X,V,V,V,O,O
b10_s3_14,14,1.0,0.777777777778,9,9,V,,V,V,V,X,X,V,V,V,V,O,O
b10_s2_14,14,1.0,0.666666666667,9,9,V,X,V,V,V,X,X,V,,V,X,O,O
b10_s6_14,14,1.0,0.777777777778,9,9,V,V,,V,V,X,V,X,V,V,V,O,O
b10_s4_14,14,1.0,0.777777777778,9,9,V,,V,V,V,V,X,X,V,V,X,O,O
b10_s10_14,14,1.0,0.666666666667,9,9,V,X,V,V,,V,X,V,V,X,V,O,O
b10_s14_14,14,1.0,0.444444444444,9,9,X,V,X,X,V,X,,V,V,X,X,O,O
b10_s13_14,14,1.0,0.888888888889,9,9,V,V,V,V,V,V,V,X,,V,X,O,O
b10_s9_14,14,1.0,0.666666666667,9,9,V,V,V,X,V,X,,X,V,V,V,O,O
b10_s11_14,14,1.0,0.444444444444,9,9,X,V,V,X,V,X,,V,X,X,V,O,O
b10_s5_14,14,1.0,0.111111111111,9,9,X,X,V,X,X,,X,X,X,X,V,O,O
b10_s7_14,14,1.0,0.444444444444,9,9,V,X,V,V,V,X,X,X,X,,V,O,O
b10_s15_14,14,1.0,0.666666666667,9,9,V,X,V,X,V,V,X,V,,V,X,O,O
b10_s12_14,14,1.0,0.888888888889,9,9,V,V,V,V,V,V,X,,V,V,X,O,O
b10_s8_14,14,1.0,1.0,9,9,V,V,V,V,V,,V,V,V,V,V,O,O
b11_s15_41,41,0.888888888889,0.75,9,8,X,V,V,V,V,,,V,V,X,V,O,O
b11_s9_41,41,0.888888888889,0.5,9,8,X,X,X,V,,X,V,V,,V,V,O,O
b11_s10_41,41,0.888888888889,0.625,9,8,V,X,,V,V,,X,V,V,X,V,O,O
b11_s3_41,41,0.888888888889,0.625,9,8,V,V,V,,V,X,,X,X,V,V,O,O
b11_s11_41,41,0.888888888889,0.5,9,8,X,X,X,V,V,,,V,V,X,V,O,O
b11_s13_41,41,0.888888888889,0.125,9,8,X,X,V,,,X,X,X,X,X,V,O,O
b11_s4_41,41,0.888888888889,0.375,9,8,V,,,X,V,X,X,V,X,X,V,O,O
b11_s1_41,41,0.888888888889,0.375,9,8,X,,V,X,V,X,X,V,X,,V,O,O
b11_s0_41,41,0.888888888889,0.875,9,8,X,,V,V,,V,V,V,V,V,X,O,O
b11_s14_41,41,0.888888888889,0.5,9,8,X,V,,X,V,X,V,X,V,,X,O,O
b11_s6_41,41,0.888888888889,0.75,9,8,V,X,,,V,X,V,V,V,V,V,O,O
b11_s12_41,41,0.888888888889,0.375,9,8,,X,,V,V,X,X,V,X,X,X,O,O
b11_s7_41,41,0.888888888889,0.5,9,8,X,X,V,V,,X,X,V,,V,V,O,O
b11_s8_41,41,0.888888888889,0.5,9,8,X,X,V,V,V,,,V,X,X,V,O,O
b11_s2_41,41,0.888888888889,0.375,9,8,V,X,V,X,,X,X,X,V,,V,O,O
b11_s6_11,11,0.888888888889,0.5,9,8,X,,V,,V,X,V,X,X,V,X,O,O
b11_s12_11,11,0.888888888889,0.75,9,8,,,V,V,V,X,V,V,V,X,V,O,O
b11_s9_11,11,0.888888888889,0.625,9,8,X,V,V,,V,,V,X,V,X,X,O,O
b11_s15_11,11,0.888888888889,0.5,9,8,X,V,V,V,V,X,X,,X,,X,O,O
b11_s2_11,11,0.888888888889,0.75,9,8,V,,V,X,V,,X,V,V,V,X,O,O
b11_s4_11,11,0.888888888889,0.875,9,8,V,V,V,V,V,,,V,X,V,X,O,O
b11_s7_11,11,0.888888888889,0.625,9,8,,,V,X,V,X,V,V,V,X,V,O,O
b11_s11_11,11,0.888888888889,0.75,9,8,,V,V,V,,X,X,V,V,V,X,O,O
b11_s3_11,11,0.888888888889,0.375,9,8,X,V,X,X,V,X,,,X,V,X,O,O
b11_s5_11,11,0.888888888889,0.375,9,8,V,X,V,,V,X,X,,X,X,X,O,O
b11_s13_11,11,0.888888888889,0.625,9,8,X,,V,V,V,,X,X,V,V,X,O,O
b11_s8_11,11,0.888888888889,0.875,9,8,V,V,V,,V,,V,X,V,V,X,O,O
b11_s9_44,44,0.888888888889,0.875,9,8,X,,V,,V,V,V,V,V,V,V,O,O
b11_s8_44,44,0.888888888889,0.5,9,8,V,X,V,V,V,X,X,,,X,V,O,O
b11_s1_44,44,0.888888888889,0.625,9,8,X,V,,V,V,X,V,V,,X,V,O,O
b11_s5_44,44,0.888888888889,0.5,9,8,X,V,,V,V,X,X,V,X,,V,O,O
b11_s0_44,44,0.888888888889,0.375,9,8,V,X,,V,X,X,V,X,X,,X,O,O
b11_s13_44,44,0.888888888889,0.5,9,8,,X,V,V,,X,X,X,V,V,V,O,O
b11_s14_44,44,0.888888888889,0.625,9,8,V,,V,,V,X,X,X,V,V,V,O,O
b11_s7_44,44,0.888888888889,0.75,9,8,V,V,V,V,V,X,X,,V,,V,O,O
b11_s2_44,44,0.888888888889,0.625,9,8,X,V,V,V,,X,,X,V,V,X,O,O
b11_s6_44,44,0.888888888889,0.5,9,8,X,V,,V,V,,X,V,X,X,V,O,O
b11_s4_44,44,0.888888888889,0.625,9,8,V,,V,V,V,X,V,,X,X,X,O,O
b11_s3_44,44,0.888888888889,0.5,9,8,X,X,V,V,V,X,,X,V,,V,O,O
b11_s11_44,44,0.888888888889,0.5,9,8,X,V,,V,V,X,X,X,V,,V,O,O
b11_s12_44,44,0.888888888889,0.5,9,8,V,,X,V,V,,X,V,X,X,V,O,O
b11_s15_44,44,0.888888888889,0.625,9,8,V,,V,X,V,X,V,,V,X,V,O,O
b11_s14_14,14,0.888888888889,0.5,9,8,V,V,V,,V,X,X,X,X,,V,O,O
b11_s4_14,14,0.888888888889,0.625,9,8,,V,V,X,V,X,X,V,,V,V,O,O
b11_s13_14,14,0.888888888889,1.0,9,8,V,V,V,V,V,V,,V,,V,V,O,O
b11_s0_14,14,0.888888888889,0.625,9,8,,V,V,X,X,V,X,,V,V,X,O,O
b11_s9_14,14,0.888888888889,0.5,9,8,,X,V,V,V,,X,X,X,V,X,O,O
b11_s15_14,14,0.888888888889,0.625,9,8,V,V,V,X,V,X,X,,,V,X,O,O
b11_s8_14,14,0.888888888889,0.75,9,8,V,V,V,V,,,V,V,X,X,V,O,O
b11_s3_14,14,0.888888888889,0.375,9,8,X,,V,V,V,X,X,X,,X,V,O,O
b11_s12_14,14,0.888888888889,0.5,9,8,X,V,V,X,V,X,X,,V,,X,O,O
b11_s7_14,14,0.888888888889,0.5,9,8,X,V,,V,V,X,X,,V,X,V,O,O
b11_s11_14,14,0.888888888889,0.375,9,8,X,X,V,V,V,X,X,X,,,X,O,O
b11_s2_14,14,0.888888888889,0.5,9,8,X,V,V,X,V,X,,,X,V,V,O,O
b11_s5_14,14,0.888888888889,0.5,9,8,X,V,,V,V,X,X,X,V,,X,O,O
b11_s1_14,14,0.888888888889,0.75,9,8,V,V,V,X,,,X,V,V,V,X,O,O
b12_s11_41,41,0.583333333333,0.857142857143,12,7,,V,V,V,V,V,,X,V,,X,O,O
b12_s2_41,41,0.583333333333,0.714285714286,12,7,,V,V,X,V,,,X,V,V,V,O,O
b12_s7_41,41,0.583333333333,0.714285714286,12,7,X,,V,,,V,V,V,V,X,V,O,O
b12_s5_41,41,0.583333333333,0.428571428571,12,7,X,V,V,V,,X,X,,,X,V,O,O
b12_s6_41,41,0.583333333333,0.571428571429,12,7,X,,V,,V,X,X,V,V,,V,O,O
b12_s14_41,41,0.583333333333,0.571428571429,12,7,X,X,V,V,,V,,X,,V,V,O,O
b12_s3_41,41,0.583333333333,0.285714285714,12,7,,X,,X,V,X,,X,V,X,V,O,O
b12_s0_41,41,0.583333333333,0.714285714286,12,7,X,X,,V,V,,V,V,V,,V,O,O
b12_s13_41,41,0.583333333333,0.714285714286,12,7,X,V,V,,V,V,,X,V,,V,O,O
b12_s4_41,41,0.583333333333,0.571428571429,12,7,X,,V,V,X,,V,X,V,,V,O,O
b12_s4_11,11,0.583333333333,0.714285714286,12,7,V,X,,V,V,X,V,,V,,X,O,O
b12_s3_11,11,0.583333333333,0.714285714286,12,7,,V,V,,V,X,X,V,V,,V,O,O
b12_s9_11,11,0.583333333333,0.571428571429,12,7,,,,V,V,X,V,X,V,X,X,O,O
b12_s12_11,11,0.583333333333,0.571428571429,12,7,V,,,V,,X,V,X,V,X,V,O,O
b12_s15_11,11,0.583333333333,0.714285714286,12,7,X,V,,V,,X,V,V,V,,V,O,O
b12_s6_11,11,0.583333333333,0.428571428571,12,7,X,,V,X,V,,X,V,X,,V,O,O
b12_s13_11,11,0.583333333333,0.857142857143,12,7,,,V,V,,V,X,V,V,V,X,O,O
b12_s8_11,11,0.583333333333,0.285714285714,12,7,X,X,,V,,X,X,V,,X,V,O,O
b12_s7_11,11,0.583333333333,0.714285714286,12,7,X,X,,,V,V,V,V,V,,V,O,O
b12_s10_11,11,0.583333333333,1.0,12,7,V,V,,V,V,V,,V,,V,V,O,O
b12_s14_11,11,0.583333333333,0.285714285714,12,7,X,,X,,X,X,V,,V,X,X,O,O
b12_s12_44,44,0.583333333333,0.714285714286,12,7,X,V,V,V,V,X,,,V,,V,O,O
b12_s4_44,44,0.583333333333,0.714285714286,12,7,V,V,V,V,,,,X,V,X,V,O,O
b12_s0_44,44,0.583333333333,0.857142857143,12,7,,V,V,V,X,,V,V,V,,V,O,O
b12_s1_44,44,0.583333333333,0.428571428571,12,7,V,X,V,V,X,X,,,,X,V,O,O
b12_s9_44,44,0.583333333333,0.714285714286,12,7,X,,V,,V,X,,V,V,V,V,O,O
b12_s8_44,44,0.583333333333,0.285714285714,12,7,,X,,V,X,X,,X,V,X,V,O,O
b12_s11_44,44,0.583333333333,0.714285714286,12,7,X,,V,V,,X,V,V,V,,V,O,O
b12_s5_44,44,0.583333333333,0.571428571429,12,7,,V,,V,X,X,V,V,,X,V,O,O
b12_s4_14,14,0.583333333333,0.857142857143,12,7,V,,V,V,V,,X,,V,V,X,O,O
b12_s11_14,14,0.583333333333,0.428571428571,12,7,V,X,V,X,X,X,,,V,,X,O,O
