original_batch,method,density,detection_ratio,Distance,Number_of_obs,73,70,52,59,16,17,18,19,20,21,target1,target2,target3
b12_s13_14,14,0.583333333333,0.714285714286,12,7,V,,V,X,V,X,V,,V,,X,O,O
b12_s10_14,14,0.583333333333,0.571428571429,12,7,,V,V,,V,X,V,X,,X,X,O,O
b12_s9_14,14,0.583333333333,0.571428571429,12,7,,X,V,,V,V,,X,V,X,V,O,O
b12_s14_14,14,0.583333333333,0.428571428571,12,7,X,V,,X,V,X,,V,,X,X,O,O
b13_s14_41,41,0.5,0.5,12,6,X,V,V,,V,X,,,X,,V,O,O
b13_s8_41,41,0.5,0.666666666667,12,6,X,,V,,V,V,V,X,,,V,O,O
b13_s2_41,41,0.5,0.333333333333,12,6,,X,V,V,X,X,,,,X,V,O,O
b13_s7_41,41,0.5,0.5,12,6,,,V,V,,X,,X,V,X,V,O,O
b13_s15_41,41,0.5,0.0,12,6,X,X,,X,,,X,X,X,,V,O,O
b13_s0_41,41,0.5,0.333333333333,12,6,X,,,V,,,X,X,V,X,V,O,O
b13_s10_41,41,0.5,0.166666666667,12,6,X,,,V,X,X,,X,,X,V,O,O
b13_s5_41,41,0.5,0.5,12,6,X,V,V,V,,X,,,,X,V,O,O
b13_s5_11,11,0.5,0.5,12,6,V,X,V,,,X,V,,,X,X,O,O
b13_s1_11,11,0.5,0.666666666667,12,6,X,V,,V,V,,V,X,,,V,O,O
b13_s3_11,11,0.5,0.833333333333,12,6,V,V,V,,V,,V,X,,,V,O,O
b13_s4_11,11,0.5,0.333333333333,12,6,,,V,X,X,,X,X,V,,X,O,O
b13_s11_11,11,0.5,0.5,12,6,X,X,V,V,,X,V,,,,X,O,O
b13_s8_11,11,0.5,0.666666666667,12,6,,X,V,V,V,X,,,V,,V,O,O
b13_s10_11,11,0.5,0.5,12,6,,V,,,X,V,X,,V,X,X,O,O
b13_s15_11,11,0.5,0.833333333333,12,6,,V,V,,V,V,V,,,X,V,O,O
b13_s0_44,44,0.5,0.333333333333,12,6,,X,,V,X,,,X,V,X,V,O,O
b13_s7_44,44,0.5,0.5,12,6,,V,,,,X,V,X,V,X,V,O,O
b13_s5_44,44,0.5,0.666666666667,12,6,V,,,V,,X,V,X,V,,V,O,O
b13_s13_44,44,0.5,0.5,12,6,X,V,V,,X,V,,,,X,V,O,O
b13_s3_44,44,0.5,0.166666666667,12,6,X,V,,X,X,,,X,,X,V,O,O
b13_s15_44,44,0.5,0.333333333333,12,6,,X,,,X,,V,X,V,X,V,O,O
b13_s8_44,44,0.5,0.5,12,6,V,,V,,X,X,,,V,X,V,O,O
b13_s9_44,44,0.5,0.5,12,6,X,,,V,X,X,V,,V,,V,O,O
b13_s11_44,44,0.5,0.333333333333,12,6,X,,V,,X,,V,X,,X,V,O,O
b13_s2_44,44,0.5,0.833333333333,12,6,V,X,V,V,,,V,,V,,V,O,O
b13_s4_44,44,0.5,1.0,12,6,V,V,V,V,,V,V,,,,X,O,O
b13_s14_44,44,0.5,0.666666666667,12,6,,,V,V,X,V,V,,,X,V,O,O
b13_s12_44,44,0.5,0.5,12,6,X,,,V,V,X,V,X,,,V,O,O
b13_s10_14,14,0.5,1.0,12,6,,V,V,V,V,V,V,,,,X,O,O
b13_s0_14,14,0.5,0.666666666667,12,6,,,V,,X,V,,X,V,V,X,O,O
b13_s3_14,14,0.5,0.666666666667,12,6,,V,V,,X,V,,X,V,,X,O,O
b13_s8_14,14,0.5,0.666666666667,12,6,X,V,,V,,,V,X,V,,V,O,O
b13_s13_14,14,0.5,0.833333333333,12,6,,V,V,V,V,X,,,V,,X,O,O
b13_s15_14,14,0.5,0.5,12,6,,V,V,V,X,X,,X,,,X,O,O
b13_s6_14,14,0.5,0.5,12,6,V,,V,,X,,X,X,,V,X,O,O
b13_s7_14,14,0.5,0.666666666667,12,6,,V,V,V,,X,V,,,X,X,O,O
b13_s9_14,14,0.5,0.333333333333,12,6,X,X,,V,X,,,X,V,,X,O,O
b13_s11_14,14,0.5,0.5,12,6,,V,V,,,X,X,X,,V,V,O,O
b13_s4_14,14,0.5,0.333333333333,12,6,,X,V,,X,X,,X,V,,X,O,O
b13_s5_14,14,0.5,0.5,12,6,V,V,,,X,,X,X,V,,X,O,O
b13_s1_14,14,0.5,1.0,12,6,V,V,,V,,,V,V,,V,X,O,O
b16_s15_41,41,0.416666666667,0.8,12,5,X,,V,,V,,V,,,V,V,O,O
b16_s14_41,41,0.416666666667,0.8,12,5,V,V,,V,X,V,,,,,V,O,O
b16_s0_41,41,0.416666666667,0.6,12,5,X,,,V,,V,X,V,,,V,O,O
b16_s10_41,41,0.416666666667,0.8,12,5,V,,V,,,V,,X,V,,X,O,O
b16_s3_41,41,0.416666666667,0.8,12,5,X,,V,,,,,V,V,V,V,O,O
b16_s6_41,41,0.416666666667,0.4,12,5,X,,V,V,X,,,X,,,V,O,O
b16_s5_41,41,0.416666666667,0.2,12,5,X,V,,X,X,X,,,,,V,O,O
b16_s2_41,41,0.416666666667,0.4,12,5,X,,,V,,,X,,V,X,V,O,O
b16_s13_41,41,0.416666666667,0.2,12,5,,X,V,,,,X,X,,X,V,O,O
b16_s9_41,41,0.416666666667,0.4,12,5,,V,,,X,V,X,,,X,V,O,O
b16_s7_41,41,0.416666666667,0.4,12,5,,X,V,,,X,V,,,X,V,O,O
b16_s11_41,41,0.416666666667,0.6,12,5,X,V,,,X,,,,V,V,V,O,O
b16_s1_41,41,0.416666666667,0.6,12,5,V,,V,,,,X,X,V,,X,O,O
b16_s15_11,11,0.416666666667,0.6,12,5,X,,V,V,,X,,V,,,V,O,O
b16_s0_11,11,0.416666666667,0.8,12,5,V,V,,V,,,,X,,V,X,O,O
b16_s12_11,11,0.416666666667,0.6,12,5,,X,V,,,X,,,V,V,X,O,O
b16_s9_11,11,0.416666666667,0.6,12,5,V,,,V,,,X,X,V,,V,O,O
b16_s4_11,11,0.416666666667,0.8,12,5,V,,V,,,V,,X,V,,X,O,O
b16_s11_11,11,0.416666666667,1.0,12,5,V,,V,,,,V,V,,V,V,O,O
b16_s3_11,11,0.416666666667,0.4,12,5,,X,V,,,,X,X,,V,X,O,O
b16_s6_11,11,0.416666666667,0.4,12,5,,X,,,,X,V,V,,X,X,O,O
b16_s1_11,11,0.416666666667,0.4,12,5,,X,V,,V,,,,X,X,V,O,O
b16_s8_11,11,0.416666666667,0.4,12,5,X,,V,,X,,,X,,V,V,O,O
b16_s13_11,11,0.416666666667,1.0,12,5,V,,V,V,,V,,,,V,V,O,O
b16_s7_11,11,0.416666666667,0.6,12,5,,,,V,V,X,X,,V,,V,O,O
b16_s2_11,11,0.416666666667,0.8,12,5,,V,V,V,V,X,,,,,V,O,O
b16_s14_11,11,0.416666666667,0.4,12,5,X,V,,,X,X,,,V,,X,O,O
b16_s10_11,11,0.416666666667,0.8,12,5,V,,V,V,,X,,V,,,V,O,O
b16_s5_11,11,0.416666666667,1.0,12,5,,,V,V,V,,V,,,V,V,O,O
b16_s5_44,44,0.416666666667,0.8,12,5,V,V,,,V,X,,,,V,X,O,O
b16_s8_44,44,0.416666666667,0.6,12,5,,V,,X,V,V,,X,,,X,O,O
b16_s2_44,44,0.416666666667,0.8,12,5,V,V,,,V,,,,V,X,V,O,O
b16_s1_44,44,0.416666666667,0.6,12,5,V,V,X,,,X,,,,V,X,O,O
b16_s9_44,44,0.416666666667,0.6,12,5,,V,,,X,,V,X,V,,V,O,O
b16_s14_44,44,0.416666666667,0.4,12,5,,V,,V,X,X,,X,,,V,O,O
b16_s11_44,44,0.416666666667,0.8,12,5,,,,V,,,V,V,X,V,V,O,O
b16_s13_44,44,0.416666666667,0.2,12,5,,,V,,,X,X,,X,X,X,O,O
b16_s10_44,44,0.416666666667,0.8,12,5,,,,,V,X,V,V,V,,V,O,O
b16_s15_44,44,0.416666666667,0.4,12,5,,X,X,,,X,,V,V,,V,O,O
b16_s4_44,44,0.416666666667,1.0,12,5,,V,V,,,V,,V,,V,X,O,O
b16_s6_44,44,0.416666666667,0.8,12,5,,V,,V,,X,V,V,,,V,O,O
b16_s3_44,44,0.416666666667,0.2,12,5,,,,V,X,,X,X,X,,V,O,O
b16_s7_44,44,0.416666666667,0.2,12,5,X,,V,,X,,X,,,X,V,O,O
b16_s12_44,44,0.416666666667,0.6,12,5,,X,V,,X,,,V,V,,V,O,O
b16_s0_44,44,0.416666666667,0.4,12,5,,,X,V,,X,,V,,X,V,O,O
b16_s1_14,14,0.416666666667,0.8,12,5,X,,V,,,V,V,V,,,V,O,O
b16_s12_14,14,0.416666666667,0.8,12,5,X,,V,,,,V,,V,V,V,O,O
b16_s5_14,14,0.416666666667,1.0,12,5,,V,,V,V,,V,,,V,X,O,O
b16_s15_14,14,0.416666666667,0.8,12,5,X,V,,V,,V,,,,V,X,O,O
b16_s6_14,14,0.416666666667,1.0,12,5,,,V,,V,,V,V,V,,X,O,O
b16_s4_14,14,0.416666666667,0.6,12,5,X,,V,,V,V,,X,,,V,O,O
b16_s2_14,14,0.416666666667,0.8,12,5,,V,V,,V,X,,,V,,V,O,O
b16_s10_14,14,0.416666666667,0.4,12,5,X,V,V,,,X,X,,,,X,O,O
b16_s11_14,14,0.416666666667,0.4,12,5,X,,,,V,,X,X,V,,V,O,O
b16_s7_14,14,0.416666666667,0.8,12,5,X,,V,,,V,V,,,V,V,O,O
b16_s3_14,14,0.416666666667,1.0,12,5,,,V,V,,V,V,,,V,V,O,O
b16_s8_14,14,0.416666666667,0.8,12,5,,V,,,V,,,V,V,X,X,O,O
b16_s14_14,14,0.416666666667,0.2,12,5,,X,,X,,X,X,,,V,V,O,O
b16_s0_14,14,0.416666666667,0.6,12,5,,V,,,V,X,,X,V,,X,O,O
b16_s9_14,14,0.416666666667,0.8,12,5,X,,,V,,V,,,V,V,X,O,O
b16_s13_14,14,0.416666666667,1.0,12,5,,V,,V,,V,,,V,V,V,O,O
b17_s4_41,41,0.333333333333,0.5,12,4,,,,,X,V,,X,V,,V,O,O
b17_s12_41,41,0.333333333333,0.25,12,4,,X,,,X,V,,,,X,X,O,O
b17_s7_41,41,0.333333333333,0.25,12,4,X,,X,,X,,,,V,,V,O,O
b17_s8_41,41,0.333333333333,0.5,12,4,X,X,,V,,,V,,,,V,O,O
b17_s5_41,41,0.333333333333,0.5,12,4,,,V,,,,,X,V,X,V,O,O
b17_s2_41,41,0.333333333333,0.75,12,4,,X,,,,,V,V,V,,V,O,O
b17_s6_41,41,0.333333333333,0.75,12,4,,,,V,,X,,V,V,,V,O,O
b17_s13_41,41,0.333333333333,0.25,12,4,X,,,,X,X,V,,,,V,O,O
b17_s3_41,41,0.333333333333,0.25,12,4,X,V,,,X,X,,,,,V,O,O
b17_s14_41,41,0.333333333333,1.0,12,4,,V,,V,,,V,,,V,V,O,O
b17_s15_41,41,0.333333333333,0.75,12,4,,,X,V,V,,,V,,,V,O,O
b17_s10_41,41,0.333333333333,0.5,12,4,X,,,V,,,V,X,,,V,O,O
b17_s11_41,41,0.333333333333,0.5,12,4,X,X,V,,,,,V,,,V,O,O
b17_s0_41,41,0.333333333333,0.5,12,4,X,V,X,,,,,V,,,V,O,O
b17_s9_41,41,0.333333333333,0.5,12,4,,X,,V,,,,X,V,,V,O,O
b17_s1_41,41,0.333333333333,0.5,12,4,,V,,,,X,,,V,X,V,O,O
b17_s9_11,11,0.333333333333,0.0,12,4,X,,,,,X,X,X,,,V,O,O
b17_s13_11,11,0.333333333333,0.5,12,4,,,,V,,,X,X,V,,V,O,O
b17_s15_11,11,0.333333333333,0.75,12,4,,,,,X,,V,V,V,,V,O,O
b17_s12_11,11,0.333333333333,1.0,12,4,,V,V,,V,V,,,,,V,O,O
b17_s14_11,11,0.333333333333,0.5,12,4,,X,,,,V,,X,,V,V,O,O
b17_s4_11,11,0.333333333333,0.75,12,4,,V,,,X,,V,,,V,V,O,O
b17_s7_11,11,0.333333333333,0.75,12,4,,,,X,,V,V,,V,,V,O,O
b17_s6_11,11,0.333333333333,0.75,12,4,V,V,,X,,,,,V,,X,O,O
b17_s2_11,11,0.333333333333,0.75,12,4,,V,V,,,X,,,,V,V,O,O
b17_s3_11,11,0.333333333333,1.0,12,4,V,,,V,,,,,V,V,V,O,O
b17_s0_11,11,0.333333333333,0.75,12,4,,,V,,,V,X,,,V,V,O,O
b17_s11_11,11,0.333333333333,0.75,12,4,,,V,,,V,,X,V,,V,O,O
b17_s8_11,11,0.333333333333,0.5,12,4,X,,V,,,,,X,V,,V,O,O
b17_s1_11,11,0.333333333333,0.75,12,4,,,,X,,V,V,V,,,V,O,O
b17_s5_11,11,0.333333333333,0.75,12,4,,V,,V,,,X,V,,,X,O,O
b17_s2_44,44,0.333333333333,1.0,12,4,V,,,V,V,,,,,V,V,O,O
b17_s15_44,44,0.333333333333,1.0,12,4,,,V,V,,V,,,V,,V,O,O
b17_s0_44,44,0.333333333333,0.5,12,4,,X,V,,,,,V,X,,V,O,O
b17_s9_44,44,0.333333333333,1.0,12,4,V,,,,,V,V,,V,,V,O,O
b17_s10_44,44,0.333333333333,1.0,12,4,V,,,V,V,V,,,,,X,O,O
b17_s7_44,44,0.333333333333,0.25,12,4,,X,,,,X,,X,V,,V,O,O
b17_s3_44,44,0.333333333333,0.75,12,4,,,,,V,,V,X,V,,V,O,O
b17_s12_44,44,0.333333333333,0.75,12,4,,V,V,,,V,,X,,,V,O,O
b17_s5_44,44,0.333333333333,0.75,12,4,,V,X,,V,V,,,,,V,O,O
b17_s13_44,44,0.333333333333,0.75,12,4,,V,,V,,,V,,,X,V,O,O
b17_s6_44,44,0.333333333333,0.75,12,4,,,V,V,,X,V,,,,V,O,O
b17_s14_44,44,0.333333333333,0.75,12,4,V,,,,,V,V,,,X,V,O,O
b17_s1_44,44,0.333333333333,0.5,12,4,,X,,V,X,,V,,,,V,O,O
b17_s8_44,44,0.333333333333,0.5,12,4,,,X,,,V,,X,,V,V,O,O
b17_s4_44,44,0.333333333333,0.25,12,4,X,V,,,X,,,,,X,V,O,O
b17_s1_14,14,0.333333333333,0.5,12,4,X,V,,,,X,V,,,,X,O,O
b17_s4_14,14,0.333333333333,0.5,12,4,X,,,V,V,,,,X,,X,O,O
b17_s8_14,14,0.333333333333,0.25,12,4,X,,V,,,X,,X,,,X,O,O
b17_s10_14,14,0.333333333333,1.0,12,4,,,,,V,V,,V,,V,X,O,O
b17_s7_14,14,0.333333333333,1.0,12,4,,V,V,,,,V,V,,,X,O,O
b17_s12_14,14,0.333333333333,0.5,12,4,,X,,,X,V,,,,V,X,O,O
b17_s11_14,14,0.333333333333,0.0,12,4,X,X,,,,X,,X,,,V,O,O
b17_s9_14,14,0.333333333333,0.5,12,4,,,V,,,,,X,V,X,V,O,O
b17_s15_14,14,0.333333333333,0.75,12,4,,,,,,V,V,X,,V,V,O,O
b17_s0_14,14,0.333333333333,0.75,12,4,,,V,X,,V,,,,V,X,O,O
b17_s13_14,14,0.333333333333,0.75,12,4,,,V,V,,,V,X,,,V,O,O
b17_s6_14,14,0.333333333333,0.75,12,4,,,V,,V,,,X,V,,X,O,O
b17_s5_14,14,0.333333333333,0.25,12,4,X,,V,X,,,,X,,,X,O,O
b17_s2_14,14,0.333333333333,0.5,12,4,,,,,V,V,,X,,X,V,O,O
b17_s14_14,14,0.333333333333,0.75,12,4,V,,,,X,V,,,V,,X,O,O
b17_s3_14,14,0.333333333333,0.25,12,4,,,,,X,,X,X,V,,V,O,O
b19_s12_41,41,0.25,0.666666666667,12,3,,,,,X,,V,,V,,V,O,O
b19_s14_41,41,0.25,0.666666666667,12,3,,X,V,V,,,,,,,V,O,O
b19_s7_41,41,0.25,0.666666666667,12,3,,V,,V,,,X,,,,V,O,O
b19_s10_41,41,0.25,0.333333333333,12,3,,,,,V,,X,X,,,V,O,O
b19_s11_41,41,0.25,0.666666666667,12,3,,V,V,,,X,,,,,V,O,O
b19_s4_41,41,0.25,0.0,12,3,,X,,X,,X,,,,,V,O,O
b19_s15_41,41,0.25,0.333333333333,12,3,,,V,,,,X,X,,,V,O,O
b19_s5_41,41,0.25,0.0,12,3,X,,,,,,X,X,,,V,O,O
b19_s2_41,41,0.25,0.666666666667,12,3,,,,,V,,V,,,X,V,O,O
b19_s1_41,41,0.25,0.333333333333,12,3,,,V,,,X,,,,X,V,O,O
b19_s13_41,41,0.25,0.333333333333,12,3,V,,,X,,X,,,,,V,O,O
b19_s6_41,41,0.25,0.333333333333,12,3,X,,V,,,,X,,,,V,O,O
b19_s9_41,41,0.25,0.666666666667,12,3,,X,V,,,,V,,,,V,O,O
b19_s3_41,41,0.25,0.333333333333,12,3,,,V,X,X,,,,,,V,O,O
b19_s0_41,41,0.25,0.333333333333,12,3,,,V,X,,,,,,X,V,O,O
b19_s8_41,41,0.25,0.666666666667,12,3,,,,V,,X,,,V,,V,O,O
b19_s14_11,11,0.25,0.666666666667,12,3,,,,X,V,V,,,,,V,O,O
b19_s5_11,11,0.25,0.333333333333,12,3,,,,X,V,,X,,,,V,O,O
b19_s15_11,11,0.25,1.0,12,3,,,,,,V,,,V,V,V,O,O
b19_s2_11,11,0.25,0.333333333333,12,3,,X,,,X,,,,,V,V,O,O
b19_s7_11,11,0.25,1.0,12,3,,,,,,,V,V,V,,X,O,O
b19_s0_11,11,0.25,0.666666666667,12,3,,,,,,,X,,V,V,V,O,O
b19_s10_11,11,0.25,0.333333333333,12,3,,,,V,X,,,X,,,V,O,O
b19_s13_11,11,0.25,1.0,12,3,,V,,V,,,,,,V,X,O,O
b19_s9_11,11,0.25,0.666666666667,12,3,,,,,,,X,V,,V,V,O,O
b19_s12_11,11,0.25,0.666666666667,12,3,,V,,,V,,,,,X,V,O,O
b19_s1_11,11,0.25,0.0,12,3,,,,X,X,,X,,,,V,O,O
b19_s3_11,11,0.25,1.0,12,3,,V,,,,,V,V,,,V,O,O
b19_s6_11,11,0.25,0.666666666667,12,3,,V,,,X,,,,V,,V,O,O
b19_s4_11,11,0.25,0.333333333333,12,3,,,V,,X,,,,,X,V,O,O
b19_s11_11,11,0.25,1.0,12,3,,,,,V,,V,,V,,V,O,O
b19_s1_44,44,0.25,0.333333333333,12,3,,X,X,,,,V,,,,V,O,O
b19_s10_44,44,0.25,0.666666666667,12,3,,X,,V,V,,,,,,V,O,O
b19_s5_44,44,0.25,1.0,12,3,,,,V,V,,,,,V,V,O,O
b19_s2_44,44,0.25,0.666666666667,12,3,,,V,,,,,X,V,,X,O,O
b19_s8_44,44,0.25,0.666666666667,12,3,,,,,V,,,V,X,,V,O,O
b19_s6_44,44,0.25,0.666666666667,12,3,,,,,V,,X,,,V,V,O,O
b19_s13_44,44,0.25,0.666666666667,12,3,,,,,V,X,,,,V,V,O,O
b19_s0_44,44,0.25,0.333333333333,12,3,,X,V,,,X,,,,,V,O,O
b19_s7_44,44,0.25,0.666666666667,12,3,,,,V,V,,X,,,,V,O,O
b19_s4_44,44,0.25,0.666666666667,12,3,,,,,V,,,V,,X,V,O,O
b19_s3_44,44,0.25,0.666666666667,12,3,,X,,,V,,,V,,,V,O,O
b19_s11_44,44,0.25,1.0,12,3,,,V,,V,,,,V,,V,O,O
b19_s9_44,44,0.25,0.666666666667,12,3,,,,,,V,,X,V,,V,O,O
b19_s12_44,44,0.25,1.0,12,3,,,V,,,,V,,V,,V,O,O
b19_s15_44,44,0.25,0.666666666667,12,3,,,,,V,X,,,,V,V,O,O
b19_s14_44,44,0.25,0.666666666667,12,3,,V,,,,,,V,X,,V,O,O
b19_s0_14,14,0.25,0.666666666667,12,3,,,V,,,X,,,,V,V,O,O
b19_s5_14,14,0.25,0.333333333333,12,3,,,,V,,X,,X,,,X,O,O
b19_s2_14,14,0.25,0.666666666667,12,3,,,V,,,,,X,V,,V,O,O
b19_s14_14,14,0.25,0.666666666667,12,3,,,,,V,X,,,V,,X,O,O
b19_s9_14,14,0.25,0.333333333333,12,3,X,,,,,X,,,V,,X,O,O
b19_s15_14,14,0.25,1.0,12,3,,V,,V,,,,,,V,X,O,O
b19_s4_14,14,0.25,0.666666666667,12,3,,V,,,,X,,V,,,V,O,O
b19_s8_14,14,0.25,0.666666666667,12,3,,,V,,V,,X,,,,X,O,O
b19_s11_14,14,0.25,0.666666666667,12,3,,,,,V,,X,V,,,V,O,O
b19_s3_14,14,0.25,0.666666666667,12,3,,,,,,X,V,V,,,V,O,O
b19_s1_14,14,0.25,0.666666666667,12,3,,,,,V,,,X,V,,V,O,O
b19_s12_14,14,0.25,0.666666666667,12,3,,V,V,,,X,,,,,V,O,O
b19_s7_14,14,0.25,1.0,12,3,,,V,,,,,V,,V,V,O,O
b19_s10_14,14,0.25,1.0,12,3,V,,,,,,,V,,V,V,O,O
b19_s6_14,14,0.25,0.666666666667,12,3,V,V,,,,X,,,,,V,O,O
